angle,mean_distance,variance_distance,count_distance,max_distance,min_distance,precision
4.660029066726565,0.8543991972295307,0.004454922380099274,1994,0.9559999704360962,0.3610000014305115,0.29749998450279236
4.677482359111309,0.8608796388329331,0.0039724401153051845,1994,0.9760000109672546,0.3650000095367431,0.30550000071525574
4.694935651496053,0.8716340362128004,0.002552088493328919,1992,1.10099995136261,0.3700000047683716,0.36549997329711925
4.712388943880796,0.8800346215077518,0.0024171388216607573,1993,0.996999979019165,0.3759999871253967,0.31049999594688416
4.72984223626554,0.8902169768233086,0.0023412615021902927,1991,1.0140000581741333,0.3799999952316284,0.31700003147125244
4.747295528650284,0.903812688763168,0.0023334661657125385,1986,1.0959999561309814,0.3880000114440918,0.3539999723434448
4.764748821035028,0.9219917824437328,0.01662031532513472,1947,4.190000057220459,0.395000010728836,1.8975000232458115
4.782202113419771,0.936545313407818,0.002090042938627288,1931,1.0850000381469729,0.402999997138977,0.3410000205039979
4.799655405804515,1.2646768836696427,0.8540793544226178,1925,4.198999881744385,0.4110000133514404,1.8939999341964722
4.817108698189259,2.084987842538896,2.0897162289307083,1892,4.185999870300293,0.4329999983310699,1.8764999359846115
4.834561990574002,3.1956526908332004,1.7724169464619577,1670,4.193999767303467,0.8529999852180481,1.6704998910427094
4.852015282958746,3.8797500037186814,0.10077630725449416,1912,4.1579999923706055,0.8640000224113464,1.6469999849796295
4.86946857534349,3.316276968901204,0.04814835500886642,1993,3.558000087738037,0.8799999952316284,1.3390000462532043
4.886921867728233,2.9390216172490664,0.03762117437490749,1989,3.2290000915527344,0.9039999842643738,1.1625000536441803
4.904375160112977,2.708670291615126,0.011625742361840873,1929,2.9609999656677246,0.925000011920929,1.0179999768733978
4.921828452497721,2.3551134540134644,0.0010037973772954731,1992,2.4749999046325684,2.275000095367432,0.09999990463256814
4.939281744882464,2.185709125538886,0.00048105128668546646,1994,2.2880001068115234,2.108999967575073,0.08950006961822532
4.956735037267208,2.041301404999395,0.00026545805662798967,1994,2.1059999465942383,1.98199999332428,0.06199997663497914
4.974188329651952,1.9191609809367562,0.00021873825756558342,1994,1.9759999513626096,1.86899995803833,0.05349999666213978
4.991641622036696,1.7808515546075558,0.0003239066621803217,1994,1.8589999675750728,1.7100000381469729,0.07449996471404996
5.009094914421439,1.6708084244426777,0.00024965027130693376,1994,1.7330000400543213,1.61899995803833,0.057000041007995605
5.026548206806183,1.5532572707058554,0.0002666919460483471,1994,1.6260000467300415,1.4889999628067017,0.06850004196166992
5.044001499190927,1.4612908744166344,0.0001703067241108591,1994,1.508999943733215,1.4179999828338623,0.0454999804496764
5.06145479157567,1.4022913738980576,0.00015619649123427295,1994,1.4459999799728394,1.3580000400543213,0.04399996995925903
5.078908083960414,1.3029709125354274,0.0009026966150899098,1994,1.3919999599456787,1.2000000476837158,0.09599995613098145
5.096361376345158,1.1900661976311129,0.00047645227070464933,1994,1.277999997138977,1.1349999904632568,0.07150000333786011
5.113814668729901,1.1298224677293447,0.00024881142592265114,1994,1.187000036239624,1.0850000381469729,0.05099999904632557
5.131267961114645,1.0840767314704276,0.00025668805622135936,1994,1.1419999599456787,1.0410000085830688,0.05049997568130493
5.148721253499389,1.0428440305988194,0.00023814673816162276,1994,1.1050000190734863,0.9649999737739564,0.07000002264976496
5.166174545884132,0.9888294886203564,0.0006389142514614948,1994,1.0540000200271606,0.9319999814033508,0.06100001931190491
5.183627838268876,0.9535531591747326,0.0003372558236929744,1994,1.027999997138977,0.9020000100135804,0.06299999356269831
5.20108113065362,0.9346594787170082,0.00018426780718825073,1994,0.9769999980926514,0.8659999966621399,0.05550000071525574
5.218534423038364,0.900273822046211,0.00017759182162275264,1994,0.9490000009536744,0.8379999995231628,0.05550000071525579
5.235987715423107,0.8709553661891666,0.0001973673096948284,1994,0.915000021457672,0.8090000152587891,0.05300000309944147
5.253441007807851,0.8402673016221018,0.0001880404064846017,1994,0.8920000195503235,0.7870000004768372,0.052500009536743164
5.2708943001925945,0.8082236711873693,0.0001926684443016431,1994,0.8539999723434448,0.7540000081062317,0.04999998211860657
5.288347592577338,0.7819518565892456,0.00021194349870819039,1994,0.8349999785423279,0.7239999771118164,0.05550000071525574
5.305800884962082,0.7560376127959494,0.00021502768734279015,1994,0.8019999861717224,0.699999988079071,0.050999999046325684
5.323254177346826,0.7310185563958875,0.000243920872396914,1994,0.7730000019073486,0.6650000214576721,0.05399999022483826
5.340707469731569,0.7101599792001718,0.0002073597496678908,1994,0.7580000162124634,0.6539999842643738,0.0520000159740448
5.358160762116313,0.6972031092631781,0.00011400938361988423,1994,0.7459999918937683,0.6470000147819519,0.0494999885559082
5.375614054501057,0.6922552652858803,5.998949099805014e-05,1994,0.7239999771118164,0.6470000147819519,0.03849998116493225
5.3930673468858,0.6915165485446169,3.071147236314755e-05,1994,0.718999981880188,0.6660000085830688,0.02649998664855957
5.410520639270544,0.6777417262195943,6.548016327579915e-05,1994,0.703000009059906,0.6570000052452087,0.023000001907348633
5.427973931655288,0.6581574714889259,6.793305633587462e-05,1994,0.6890000104904175,0.6399999856948853,0.024500012397766113
5.445427224040031,0.6423791370157492,3.633787374667778e-05,1994,0.6650000214576721,0.628000020980835,0.01850000023841858
5.462880516424775,0.6302652966713116,2.792809053133891e-05,1994,0.6489999890327454,0.6169999837875366,0.01600000262260437
5.480333808809519,0.6206735187810785,2.1218514272502746e-05,1994,0.6380000114440918,0.6100000143051147,0.013999998569488525
5.497787101194263,0.6124428284084545,1.560660568238707e-05,1994,0.6269999742507935,0.6019999980926514,0.012499988079071045
5.515240393579006,0.6067657993514177,1.2705304762309911e-05,1994,0.6190000176429749,0.5960000157356262,0.011500000953674316
5.53269368596375,0.5978485470191167,2.4501879165804496e-05,1994,0.6119999885559082,0.5849999785423279,0.013500005006790161
5.550146978348494,0.5877251735960349,2.8688118323455177e-05,1994,0.6050000190734863,0.574999988079071,0.015000015497207642
5.567600270733237,0.577540119947378,3.0145145986733207e-05,1994,0.5950000286102295,0.5649999976158142,0.015000015497207642
5.585053563117981,0.5676223667359042,2.797121855673166e-05,1994,0.5860000252723694,0.5559999942779541,0.015000015497207642
5.602506855502725,0.5579769327683578,2.6096820093734924e-05,1994,0.5759999752044678,0.5460000038146973,0.014999985694885254
